county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
06031,Kings,CA,29.04907022140032,39.02028817999692,31.930328247803978,7.557481892433349,20.28227513227513,1.5182799095905892
06067,Sacramento,CA,24.46479443571054,41.76756705254633,33.767886236958695,6.228855223667286,42.501753132294795,1.4976023057500834
06009,Calaveras,CA,18.53975980484143,35.60644023268906,45.85381122161756,5.9960067554888345,57.28464252204916,1.256509664102083
06091,Sierra,CA,16.574011285868654,32.646999639812705,50.77935166286469,5.909893144435106,85.29707527914516,1.0449167967343018
06037,Los Angeles,CA,22.751866460870062,32.769587835134054,44.47892299777054,7.09171668667467,29.269524952838275,1.3751169039044189
06083,Santa Barbara,CA,26.918882887810213,36.71443905106994,36.36668489779176,6.718964927873111,44.20893553018391,1.3357564777466329
06097,Sonoma,CA,22.964609904630585,38.45454057987667,38.581010379562606,5.941487609636524,54.82217243096251,1.3060220613581524
06111,Ventura,CA,28.17306636726547,38.24378118762475,33.58327719560878,6.830127245508981,40.52553018962076,1.33842751996008
06073,San Diego,CA,15.91642016973547,26.430314159511635,57.65358826740781,6.888907638096184,23.562032855228548,1.3224375899548366
06043,Mariposa,CA,16.32461274203623,31.37791380387258,52.29774515927545,6.027573391630231,52.43547158026233,1.2339047470331044
06055,Napa,CA,26.059626346831855,43.16943556624601,30.771158852021482,6.23939833272925,44.66853273583973,1.2635823256120466
06041,Marin,CA,23.383442395399562,35.11598750743605,41.50114019432878,5.861917509418996,58.70656355344041,1.2339534999008526
06089,Shasta,CA,19.539217322761626,34.24518013631938,46.21565818148097,5.951604302870125,68.67010942643853,1.1751075717531414
06075,San Francisco,CA,24.32420091324201,30.051141552511417,45.63150684931507,6.14931506849315,62.93059360730594,1.2554794520547945
06061,Placer,CA,16.55884090909091,35.01423484848485,48.42663257575758,5.87707196969697,75.8570643939394,1.1612643939393938
06035,Lassen,CA,22.658179670740232,36.278829512859446,41.062566587123676,6.700322992744715,43.76477521995902,1.2295193443413281
